",Date,User,Tweet,Favourites"
"0,2021-12-12 23:59:59+00:00,Obsidian_22,@Foxhound2931 @RyanEversley @F1 @HondaRacingF1 You're trying to say they activated God Mode and so it's all good. Which would be like saying Masi can always do whatever he wanted and therefore protests don't exist (because how could they).,0"
"1,2021-12-12 23:59:59+00:00,Jaden59769093,@GeraldineMatch @MercedesAMGF1 this will take a while to get a result 🙁,1"
"2,2021-12-12 23:59:58+00:00,AzfarBakar,@MercedesAMGF1 As you rightly should. Lewis and the team gave their all in the track since Brazil. And they rightly should be the winners in Abu Dhabi. Now is the Merc’s management team to do their part.,0"
"3,2021-12-12 23:59:58+00:00,CAPTAINPEEHEED,@BradleyGravett @RobbGravett @liqui_moly_gmbh @LMPerformanceUK @F1 @Max33Verstappen Absolutely bollocks,1"
"4,2021-12-12 23:59:57+00:00,chrisevoevans,Fascinating take on the whole F1 thing today. https://t.co/LGiubZMQDV,0"
"5,2021-12-12 23:59:56+00:00,flowin74,""When everyone has slept on this tonight, even hard core #Verstappen fans will realise that this was the biggest sporting injustice in a generation. He will win plenty of #f1 titles as he's a great driver, but the whole world can see that he didn't win this one #f1 #Hamilton https://t.co/eEmkvqGfCC"",5"
"6,2021-12-12 23:59:56+00:00,tonnyzmm,""@flaren1337 @_The_BigT @ayee_jane @F1 @Max33Verstappen brazil max forced off track to keep positon, keep trying"",2"
"7,2021-12-12 23:59:56+00:00,MzStella4,@F1 @Max33Verstappen @LewisHamilton Sheep’s &amp; A 🐐.. #shameful,0"
"8,2021-12-12 23:59:56+00:00,tipsytee77,@lokapix @F1Casual1 @seaniemcquack @DerekPallardy @KimMensink @02ZSY @F1 What is the point of changing rules or even have them in writing if he can change them anytime he likes.,1"
"9,2021-12-12 23:59:56+00:00,solarenasl,""The reactions of Toto Wolff during the last lap and the claim towards Michael Massi only show what a bad loser he is and his terrible sportsmanship. How scary it must have been to be around him at that moment. Karma bitch."
#GPArabiaSaudita 
#F1 
#MaxVerstappen33 
#Mercedes 
"#fia https://t.co/c5B3v2GnjG"",60"
"10,2021-12-12 23:59:55+00:00,SwekAap,@number1wanderer @F1 @redbullNED You hamilton fans didnt have any shame after he drove verstappen into the barrier at silverstone.. The guy went celebrating whilst verstappen was in the hospital getting checked..🤡,3"
"11,2021-12-12 23:59:54+00:00,LoobyLo58406513,@F1 21 races and a farce. A few procession laps behind a safety car because of the rain is not a race !!! Yet another @fia and Michael Masi fuckup,0"
"12,2021-12-12 23:59:53+00:00,Dazmondo,""@amaanchange @F1 @Max33Verstappen It is the end of an era though in that F1 cars will look very different going forward, not least because of the 18 inch rims and no barge boards."",1"
"13,2021-12-12 23:59:53+00:00,STLBreak,""In your opinion, was the integrity of #FormulaOne permanently damaged following the finish of the #AbuDhabiGP? "

"#LewisHamilton #MaxVerstappen #F1 #AbuDhabiGrandPrix #Racing #MaxVerstappen33 #RedBull #MercedesAMGF1 #sports"",0"
"14,2021-12-12 23:59:53+00:00,SnowyKai,""@LightningRL @NotCrazyLilHank @MercedesAMGF1 literally take a scroll through their feed"

"they literally created this account to do this tonight because they're too scared their actual acc would get banned, and their lives are so fuckin empty they need this lmao"

"anyway back to endwalker"",1"
"15,2021-12-12 23:59:52+00:00,alranson,""@Travis_Kellyy @MercedesAMGF1 So OK for the race director to fix the result in his office, but not OK for Mercedes to appeal it in the same office?"",0"
"16,2021-12-12 23:59:52+00:00,justmaul,Indeed an insane rivalry and racing @F1,0"
"17,2021-12-12 23:59:52+00:00,Obs509,""@F1 @Max33Verstappen Some explain to his father how to wear a 😷, he makes a mockery of your protocols and you let him."",0"
"18,2021-12-12 23:59:51+00:00,aafkedewit,""@Grant_Some92 @r_install1 @maubyman @F1 But it was fixed within 3 laps. So i think this is the best decision. It’s just s painful one for lewis, no doubt about that"",0"
"19,2021-12-12 23:59:51+00:00,blacawi,@DeraAdam I heard someone say only 3% of the cases before the CAS were reversed (I also don't think any f1 race has ever gone there). Considering the regulations can be interpreted to accept the decision of the RD I don't see it being overturned there.,2"
"20,2021-12-12 23:59:50+00:00,enbyk00ki,@cherrysphoria i hate using the word cringe but it's so cringe that he's trying to stay relevant and appealing to mainly white men by.. stealing f1 tweets 😭😭,1"
"21,2021-12-12 23:59:50+00:00,Monty_Mack85,@F1 @Max33Verstappen “Champion”,0"
"22,2021-12-12 23:59:50+00:00,MIRM11257404,@PNW_DUCATI_FAN @alex_albon @Max33Verstappen @redbullracing @LewisHamilton They competed for a third place at best if something extraordinary did not happen.,0"
"23,2021-12-12 23:59:49+00:00,ASmith97,""#LewisHamilton Was so dignified today, so much respect for that, considering. Was never a big fan, but I am now. What a driver."",0"
